asset_id,filename_or_version,creator_or_source,source_reference,asset_type,ownership_or_license,permitted_media,territory,duration,attribution,model_property_or_minor_release,ai_tool_model_and_date,prompt_or_reference_inputs,material_edits,synthetic_disclosure,restrictions,reviewer,approval_status,checksum,release_state
ast-world-studio-v2,public/motion/kingxford-reality-studio-portrait.webp,Clay Banks / Unsplash,https://unsplash.com/photos/artists-studio-with-desk-chair-and-large-window-fybrevHYvWc,documentary studio photograph,Free to use under the Unsplash License as stated on the source page,Kingxford portfolio website and repository,Global,Project life; re-review if license or source status changes,Clay Banks / Unsplash,Property-release status not independently verified,none,Reference selected for the Studio world card,Cropped and converted to 1600x2000 WebP,Not synthetic,Contextual brand imagery,Kingxford,approved with recorded source,4afd5a9a62deb00df6a8d16a289c31506b5720ce16abdfd66f36e5fbc7e8d3b8,inactive_historical
ast-strategy-room-landscape-v3,public/motion/kingxford-strategy-room.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial environment,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adults; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism landscape: a strong non-military interdisciplinary situation room with adult professionals around a central strategy table and monumental X-Frame architecture; no residential, military, surveillance, or generated-interface cues",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or a real Kingxford facility","Do not imply that the room, people, equipment, commission, or strategic outcome is documentary evidence of Kingxford operations",Kingxford,approved as disclosed conceptual editorial imagery,f26c674f15449bb083f051c73d149139ba5202ccc641116d405abca7f7a612ed,inactive_historical
ast-strategy-room-portrait-v3,public/motion/kingxford-strategy-room-portrait.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial environment,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adults; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism portrait: the same non-military strategy-room language in a vertical threshold view with strategist, working team, X-shaped ceiling structure, and a quiet lower copy zone",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or a real Kingxford facility","Do not imply that the room, people, equipment, commission, or strategic outcome is documentary evidence of Kingxford operations",Kingxford,approved as disclosed conceptual editorial imagery,0ea88fba0b707b8113a51a2794734baf9936e51b0ea499910395d7a832f7c1a0,inactive_historical
ast-scientific-lab-landscape-v3,public/motion/kingxford-scientific-lab.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial environment,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adults; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism landscape: an actual molecular and analytical laboratory with three adult scientists in correct PPE using plausible biosafety, microscopy, centrifuge, and sample-handling equipment; no science-fiction or unsafe-workflow cues",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or a real Kingxford facility","Do not imply that the laboratory, scientists, samples, experiment, affiliation, or research outcome is documentary evidence of Kingxford operations",Kingxford,approved as disclosed conceptual editorial imagery,f07775b34518e0fae2cfa7a9141aac984b70682efd02fbd8eb9ef7843fc57852,inactive_historical
ast-scientific-lab-portrait-v3,public/motion/kingxford-scientific-lab-portrait.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial environment,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adults; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism portrait: an adult scientist pipettes at a biosafety cabinet in correct PPE while a second scientist uses a microscope in a plausible molecular laboratory; no science-fiction, unsafe procedure, or fabricated result",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or a real Kingxford facility","Do not imply that the laboratory, scientists, samples, experiment, affiliation, or research outcome is documentary evidence of Kingxford operations",Kingxford,approved as disclosed conceptual editorial imagery,a5b02826a9d24ae0cc2d3728c87182d1386f7fb27b5aa72f53b268c7217a84d7,inactive_historical
ast-ai-era-media-concept-v1,public/media/how-to-get-ahead-in-the-ai-era-concept.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial photograph,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adults; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism editorial cover: three adult professionals study a human-directed AI-assisted workflow through physical briefs, research materials, prototypes, and a scanning tool in a grounded strategy room; no generated interface or readable claims",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or literal product UI","Do not imply that the people, room, workflow, tools, employment relationships, or AI outcomes are documentary evidence of Kingxford operations",Kingxford,approved as disclosed conceptual editorial imagery,d40bec4bfcfcb9aff9a70c12b32c8f1c249f7de861682c055df1dcd03d04e628,inactive_historical
ast-x-frame-icon-v2,src/app/icon.svg,Original vector geometry authored for Kingxford,src/components/KingxfordLogo.tsx,vector identity mark,Original project implementation; copyright and trademark status not legally reviewed,Kingxford portfolio website and repository,Global,Project life; re-review upon identity expansion,Kingxford,Not applicable,none,Original X-Frame concept; 2026-07-29,Hand-authored SVG with two crossing architectural beams and an over-under seam,Not synthetic,"Do not claim trademark clearance, registration, exclusivity, or confusing-similarity review",Kingxford,original source recorded; legal and trademark review not performed,d977ee268c4f78ea73f6b09824ae8126461b93f927abaaa09a519c7cf0681040,inactive_historical
ast-sustainable-abundance-media-concept-v1,public/media/sustainable-abundance-for-all-concept.webp,kingXford & Co / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial photograph,Generated for kingXford & Co with Imagegen; provider terms apply; no third-party source image was used as an input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,"Five fictional adults; no source likeness or real-person identity intended; no employment, client, participant, investor, or endorsement claim",Imagegen; 2026-07-31,"Photoreal serious R&D and strategy facility with five fictional adult professionals studying a physical regional system model integrating solar energy, electric transit, a greenhouse, water recycling, and shared infrastructure; subtle architectural X; no text, logos, holograms, or science-fiction styling",Imagegen output delivered as 1536x1024 WebP; 132738 bytes; no compositional edit recorded,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence of staff, a facility, a project, or an outcome","Do not imply that the people are kingXford & Co staff or investors; do not imply the facility, regional model, infrastructure, project, partnership, or outcome is real or measured; do not infer statistics from the image",kingXford & Co,approved as disclosed conceptual editorial imagery,c45d79e255697dcf968eaf31cb7929049668f91b6a5233eb51610ebe0632d267,inactive_historical
ast-veridanth-evidence-v2,public/work/veridanth-evidence-v2.webp,Veridanth public live interface + kingXford & Co / Higgsfield Soul Cinema,https://www.veridanth.com/; Higgsfield job 087fd977-54d8-4b22-a203-cac1ba3e32fe; captured 2026-07-31,hybrid editorial composite: authentic interface evidence + generated conceptual field,Authentic public interface captured for portfolio editorial use; interface rights remain with the relevant product owner; generated surrounding field subject to Higgsfield provider terms,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,Authentic Veridanth interface capture + kingXford & Co generated editorial field,"No people; no model release required; interface, property, and trademark rights not independently reviewed",Higgsfield Soul Cinema; 2026-07-31; job 087fd977-54d8-4b22-a203-cac1ba3e32fe,"Authentic Veridanth Studio interface preserved as the evidence layer; generated botanical-mineral routing lattice, specimen paper, root paths, violet and malachite nodes, and architectural X; no people, fake UI, or generated text","Authentic screenshot crop placed as a literal image layer over the separately generated field; rounded mask, shadow, final resize, and WebP encoding to 2400x1600; no invented interface elements","Hybrid conceptual editorial composite; the visible interface is an authentic public-product capture, while the surrounding environment is generated and is not documentary","Never present the generated surroundings as a product screenshot, facility, measured outcome, endorsement, or independent validation; the capture does not establish product outcomes",kingXford & Co,active as disclosed hybrid editorial imagery,2a081181daba13fbe85c90694b69a4bc9cbc29b4fda1ad2a0a97f1236460cde3,active
ast-psyche-atlas-evidence-v2,public/work/psyche-atlas-evidence-v2.webp,Psyche Atlas public live interface + kingXford & Co / OpenAI imagegen,https://personality-tests-six.vercel.app/; captured 2026-07-31,hybrid editorial composite: authentic interface evidence + generated conceptual field,Authentic public interface captured for portfolio editorial use; interface rights remain with the relevant product owner; generated surrounding field subject to OpenAI provider terms,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,Authentic Psyche Atlas interface capture + kingXford & Co generated editorial field,"No people retained in the final composite; no model release required; interface, property, and trademark rights not independently reviewed",OpenAI imagegen; 2026-07-31,"Authentic Big Five detail panel preserved as the evidence layer; generated vellum and topographic reflection cartography; no people, fake UI, mystical cues, diagnostic claims, or generated text","Authentic right-panel screenshot crop placed as a literal image layer over the separately generated field; person excluded; rounded mask, shadow, final resize, and WebP encoding to 2400x1600; no invented interface elements","Hybrid conceptual editorial composite; the visible interface is an authentic public-product capture, while the surrounding environment is generated and is not documentary","Do not imply clinical diagnosis, medical advice, a real participant, measured assessment outcomes, endorsement, or independent validation; never present generated surroundings as interface evidence",kingXford & Co,active as disclosed hybrid editorial imagery,fce6b283b4018ea413434819756b73e69c346fb28c6782e52d825b7ae93e3222,active
ast-ccai-global-evidence-v2,public/work/ccai-global-evidence-v2.webp,CCAI Global public live interface + kingXford & Co / OpenAI imagegen,https://ccai.global/; captured 2026-07-31,hybrid editorial composite: authentic interface evidence + generated conceptual field,Authentic public interface captured for portfolio editorial use; interface rights remain with the relevant product owner; generated surrounding field subject to OpenAI provider terms,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,Authentic CCAI Global interface capture + kingXford & Co generated editorial field,"No people; no model release required; interface, property, and trademark rights not independently reviewed",OpenAI imagegen; 2026-07-31,"Authentic global atlas and data visualisation preserved as the evidence layer; generated forensic acrylic evidence system and infrastructure strata; no people, fake UI, crime-thriller cues, or generated text","Authentic screenshot crop placed as a literal image layer over the separately generated field; rounded mask, shadow, final resize, and WebP encoding to 2400x1600; no invented interface elements","Hybrid conceptual editorial composite; the visible interface is an authentic public-product capture, while the surrounding environment is generated and is not documentary","Do not present the generated field as a real investigation, evidence record, facility, project event, measured finding, endorsement, or independent validation",kingXford & Co,approved as disclosed hybrid editorial imagery,f28037ccc69d0e326c22111a5e302c6aa23e417ad846efea65cde198675ae272,inactive_unreleased
ast-aceplore-evidence-v2,public/work/aceplore-evidence-v2.webp,Aceplore public live interface + kingXford & Co / OpenAI imagegen,https://aceplore.com/; captured 2026-07-31,hybrid editorial composite: authentic interface evidence + generated conceptual field,Authentic public interface captured for portfolio editorial use; interface rights remain with the relevant product owner; generated surrounding field subject to OpenAI provider terms,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,Authentic Aceplore interface capture + kingXford & Co generated editorial field,"No people; no model release required; interface, property, and trademark rights not independently reviewed",OpenAI imagegen; 2026-07-31,"Authentic Aceplore hero and product interface preserved as the evidence layer; generated modular industrial workbench with precise tools and materials; no people, fake UI, or generated text","Authentic screenshot crop placed as a literal image layer over the separately generated field; rounded mask, shadow, final resize, and WebP encoding to 2400x1600; no invented interface elements","Hybrid conceptual editorial composite; the visible interface is an authentic public-product capture, while the surrounding environment is generated and is not documentary","Never present the generated workbench as a real Aceplore facility, product screenshot, measured outcome, endorsement, or independent validation",kingXford & Co,approved as disclosed hybrid editorial imagery,aeb753a5512a595948ec05d979796b826a422f6e426e85c89f66718d636956b4,inactive_unreleased
ast-grandmaster-evidence-v2,public/work/grandmaster-evidence-v2.webp,GrandMaster public live interface + kingXford & Co / OpenAI imagegen,https://boardgames-peach.vercel.app/; captured 2026-07-31,hybrid editorial composite: authentic interface evidence + generated conceptual field,Authentic public interface captured for portfolio editorial use; interface rights remain with the relevant product owner; generated surrounding field subject to OpenAI provider terms,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,Authentic GrandMaster interface capture + kingXford & Co generated editorial field,"No people; no model release required; interface, property, and trademark rights not independently reviewed",OpenAI imagegen; 2026-07-31,"Authentic chess board and tutor interface preserved as the evidence layer; generated exploded strategy game tree and analysis objects; no people, fake UI, casino, betting, chips, money, prizes, or generated text","Authentic screenshot crop placed as a literal image layer over the separately generated field; rounded mask, shadow, final resize, and WebP encoding to 2400x1600; no invented interface elements","Hybrid conceptual editorial composite; the visible interface is an authentic public-product capture, while the surrounding environment is generated and is not documentary","No gambling or wagering implication; do not imply measured learning outcomes, ownership of third-party game marks, endorsement, independent validation, or a documentary facility",kingXford & Co,active as disclosed hybrid editorial imagery,7caffd76223f13caee26d652a4af8cd349309ac1bad7823925ffaf6a3213819d,active
ast-nkosuo-evidence-v2,public/work/nkosuo-evidence-v2.webp,Nkosuo prior authentic brand/interface fragment + kingXford & Co / OpenAI imagegen,public/work/nkosuo-live.webp; authentic fragment cropped 2026-07-31,hybrid editorial composite: authentic brand/interface fragment + generated conceptual field,Prior authentic brand/interface fragment reused for portfolio editorial context; relevant product and mark rights remain with their owner; generated surrounding field subject to OpenAI provider terms,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,Authentic Nkosuo brand/interface fragment + kingXford & Co generated editorial field,"No people; no model release required; interface, property, and trademark rights not independently reviewed",OpenAI imagegen; 2026-07-31,"Authentic neutral brand and command-centre fragment preserved as the evidence layer; generated market provenance strata, source markers, and analytical materials; no people, fake UI, currency, profit, trading-floor cues, or generated text","Neutral authentic fragment cropped to exclude unrelated geographic wording, then placed as a literal layer over the separately generated field; final resize and WebP encoding to 2400x1600; no invented interface elements","Hybrid conceptual editorial composite; the visible brand/interface fragment is authentic, while the surrounding environment is generated and is not documentary","Information only; do not imply investment advice, live-market freshness, guaranteed returns, regulator endorsement, measured financial outcomes, or independent validation",kingXford & Co,approved as disclosed hybrid editorial imagery,acf304d0f46a3a31d418db88b88df7132866b99711eb61c2903275353e526a25,inactive_unreleased
ast-elkings-college-evidence-v2,public/work/elkings-college-evidence-v2.webp,Elkings College public live interface + kingXford & Co / OpenAI imagegen,https://elkings-college.vercel.app/; captured 2026-07-31,hybrid editorial composite: authentic interface evidence + generated conceptual field,Authentic public interface captured for portfolio editorial use; interface rights remain with the relevant product owner; generated surrounding field subject to OpenAI provider terms,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,Authentic Elkings College interface capture + kingXford & Co generated editorial field,"No people; no model release required; interface, property, and trademark rights not independently reviewed",OpenAI imagegen; 2026-07-31,"Authentic neutral MyElkings preview workspace preserved as the evidence layer; generated architectural campus continuum and learning pathways; no people, fake UI, generated text, or unrelated geographic copy","Authentic neutral right-side screenshot crop placed as a literal layer over the separately generated field; unrelated copy excluded; rounded mask, shadow, final resize, and WebP encoding to 2400x1600; no invented interface elements","Hybrid conceptual editorial composite; the visible interface is an authentic public-product capture, while the surrounding environment is generated and is not documentary","Do not imply the generated campus is real, a specific institution or property, accreditation, affiliation, endorsement, measured learning outcomes, or independent validation",kingXford & Co,approved as disclosed hybrid editorial imagery,f2d97370e41ad29f5e7ae06798ba067f45ef3a6f84ab56e5efd30d6605346032,inactive_unreleased
ast-value-m-evidence-v2,public/work/value-m-evidence-v2.webp,ValueM public live interface + kingXford & Co / OpenAI imagegen,https://value-m.vercel.app/; captured 2026-07-31,hybrid editorial composite: authentic interface evidence + generated conceptual field,Authentic public interface captured for portfolio editorial use; interface rights remain with the relevant product owner; generated surrounding field subject to OpenAI provider terms,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,Authentic ValueM interface capture + kingXford & Co generated editorial field,"No people; no model release required; interface, property, and trademark rights not independently reviewed",OpenAI imagegen; 2026-07-31,"Authentic ValueM dashboard preserved as the evidence layer; generated physical value thread, decision gates, evidence tokens, and model materials; no people, fake UI, profit promises, or generated text","Authentic screenshot crop placed as a literal image layer over the separately generated field; rounded mask, shadow, final resize, and WebP encoding to 2400x1600; no invented interface elements","Hybrid conceptual editorial composite; the visible interface is an authentic public-product capture, while the surrounding environment is generated and is not documentary","Do not imply investment advice, valuation certainty, measured returns, external endorsement, independent validation, or that the generated surroundings are a literal ValueM workspace",kingXford & Co,active as disclosed hybrid editorial imagery,3e44e8b43648883f0dabd1f8b327fcf0fdf982406dd7d932a53cf5caef7ff2d7,active
ast-cinematic-capability-reactor-v2,public/motion/kingxford-capability-reactor-v2.webp,kingXford & Co / OpenAI imagegen,creative/production-manifest.json,synthetic conceptual editorial environment,Generated for kingXford & Co with OpenAI imagegen; provider terms apply; no source image or third-party interface used as generation input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,No people; no model release required; property and trademark rights not independently reviewed,OpenAI imagegen; 2026-07-31,"Monumental engineered X integrating water, energy, materials, and infrastructure into a capability reactor; no people, fake UI, logos, or generated text",Generated master resized and cropped to 2560x1440 WebP; no screenshot or text composited,"Synthetic conceptual editorial imagery; clearly disclosed; not a documentary facility, project, infrastructure system, or measured outcome","Do not imply a real facility, project, partnership, system performance, ownership, endorsement, or independent validation; infer no facts or statistics from the scene",kingXford & Co,active as disclosed conceptual editorial imagery,133219850ae2367b7f1fdaa3ed322e5239dd442c7fcd761001c4e2d88ce58252,active
ast-cinematic-signal-observatory-v2,public/motion/kingxford-signal-observatory-v2.webp,kingXford & Co / OpenAI imagegen,creative/production-manifest.json,synthetic conceptual editorial environment,Generated for kingXford & Co with OpenAI imagegen; provider terms apply; no source image or third-party interface used as generation input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,No people; no model release required; property and trademark rights not independently reviewed,OpenAI imagegen; 2026-07-31,"Signal observatory built from an optical X mount, maps, lenses, and a restrained cobalt beam to visualise systems intelligence; no people, fake UI, logos, or generated text",Generated master resized and cropped to 2560x1440 WebP; no screenshot or text composited,"Synthetic conceptual editorial imagery; clearly disclosed; not a documentary facility, intelligence system, dataset, or measured result","Do not imply surveillance, a real facility, live data, system accuracy, ownership, endorsement, or independent validation; infer no facts or statistics from the scene",kingXford & Co,active as disclosed conceptual editorial imagery,7a2d5861c6425c4d2ac0506a9bdb06f92fc8b5665ca487e86ae038747f20bf90,active
